192.71.249.186:2053#BE [1278.55ms 2.94Mbps]
54.229.164.147:8443#IE [1278.85ms 0.16Mbps]
38.180.225.247:2053#HU [1280.34ms 0.87Mbps]
89.46.236.118:443#RS [1287.44ms 0.2Mbps]
89.46.42.92:2053#SK [1287.91ms 4.31Mbps]
77.91.69.141:8443#IL [1294.4ms 0.16Mbps]
193.200.238.239:8443#NO [1299.22ms 0.21Mbps]
103.15.91.174:443#VN [1305.17ms 0.29Mbps]
193.36.38.222:443#MD [1309.25ms 0.14Mbps]
194.5.98.105:2053#NO [1310.7ms 0.34Mbps]
64.176.170.68:8443#IL [1317.7ms 2.62Mbps]
148.223.138.11:443#MX [1328.43ms 0.12Mbps]
194.55.166.65:443#CY [1329.54ms 1.87Mbps]
84.235.250.237:443#AE [1329.98ms 0.19Mbps]
91.250.248.223:443#GR [1334.8ms 0.16Mbps]
195.246.230.125:443#IS [1356.84ms 0.13Mbps]
194.87.85.5:8443#RS [1357.19ms 0.14Mbps]
64.176.15.110:2053#CL [1366.49ms 0.42Mbps]
161.29.46.212:443#NZ [1369.98ms 0.16Mbps]
102.130.48.155:2053#NG [1372.36ms 0.0Mbps]
181.36.229.212:2087#DO [1383.13ms 0.71Mbps]
216.238.88.154:8443#MX [1383.97ms 2.36Mbps]
38.180.196.40:8443#BR [1389.7ms 0.16Mbps]
93.185.165.175:8443#MD [1391.29ms 0.18Mbps]
181.36.229.212:443#DO [1393.63ms 0.89Mbps]
181.36.229.212:2096#DO [1394.26ms 0.66Mbps]
93.185.165.175:443#MD [1394.41ms 0.06Mbps]
181.36.229.212:2053#DO [1398.84ms 0.81Mbps]
94.103.188.145:443#MD [1401.76ms 0.08Mbps]
195.246.231.187:8443#IS [1408.43ms 0.16Mbps]
216.238.110.198:8443#BR [1417.43ms 2.62Mbps]
131.255.6.88:443#AR [1478.71ms 0.0Mbps]
193.24.233.68:443#CY [1484.72ms 0.1Mbps]
